n,eta,factor,threshold,max_steps,k,d,acc
256,0.0190476197749376,0.8571429252624512,False,3,1.0,5.0,0.12389322916666666
256,0.0190476197749376,1.0,False,2,1.0,6.0,0.2439236111111111
256,0.0190476197749376,1.0,False,3,1.0,6.0,0.24446614583333334
256,0.0190476197749376,1.1428571939468384,False,2,1.0,7.0,0.42666015625
256,0.0190476197749376,1.1428571939468384,False,3,1.0,7.0,0.42902560763888886
256,0.0190476197749376,1.2857143878936768,False,2,1.0,8.0,0.6351453993055556
256,0.0190476197749376,1.2857143878936768,False,3,1.0,8.0,0.6256510416666666
256,0.0190476197749376,1.4285714626312256,False,2,1.0,9.0,0.7860460069444445
256,0.0190476197749376,1.4285714626312256,False,3,1.0,9.0,0.7776909722222223
256,0.0190476197749376,1.571428656578064,False,2,1.0,10.0,0.8888888888888888
256,0.0190476197749376,1.571428656578064,False,3,1.0,10.0,0.8774739583333333
256,0.0190476197749376,1.7142858505249023,False,2,1.0,11.0,0.9422960069444445
256,0.0190476197749376,1.7142858505249023,False,3,1.0,11.0,0.93896484375
256,0.0190476197749376,1.8571429252624512,False,2,1.0,12.0,0.9717881944444444
256,0.0190476197749376,1.8571429252624512,False,3,1.0,12.0,0.9684461805555555
256,0.0190476197749376,2.0,False,2,1.0,13.0,0.9848524305555556
256,0.0190476197749376,2.0,False,3,1.0,13.0,0.9834852430555555
256,0.0190476197749376,2.142857313156128,False,2,1.0,14.0,0.9920952690972222
256,0.0190476197749376,2.142857313156128,False,3,1.0,14.0,0.9918728298611111
256,0.0190476197749376,2.2857143878936768,False,2,1.0,14.0,0.9920952690972222
256,0.0190476197749376,2.2857143878936768,False,3,1.0,14.0,0.9918728298611111
256,0.0190476197749376,2.4285714626312256,False,2,1.0,15.0,0.9966362847222222
256,0.0190476197749376,2.4285714626312256,False,3,1.0,15.0,0.9963107638888888
256,0.0190476197749376,2.5714287757873535,False,2,1.0,16.0,0.9977430555555555
256,0.0190476197749376,2.5714287757873535,False,3,1.0,16.0,0.9978081597222223
256,0.0190476197749376,2.7142858505249023,False,2,1.0,17.0,0.9992296006944444
256,0.0190476197749376,2.7142858505249023,False,3,1.0,17.0,0.9985243055555556
256,0.0190476197749376,2.857142925262451,False,2,1.0,18.0,0.999609375
256,0.0190476197749376,2.857142925262451,False,3,1.0,18.0,0.9988715277777778
256,0.0190476197749376,3.000000238418579,False,2,1.0,19.0,0.9998046875
256,0.0190476197749376,3.000000238418579,False,3,1.0,19.0,0.9996202256944444
256,0.0190476197749376,3.142857313156128,False,2,1.0,20.0,1.0
256,0.0190476197749376,3.142857313156128,False,3,1.0,20.0,1.0
256,0.0190476197749376,3.2857143878936768,False,2,1.0,21.0,1.0
256,0.0190476197749376,3.2857143878936768,False,3,1.0,21.0,1.0
256,0.0190476197749376,3.4285717010498047,False,2,1.0,22.0,1.0
256,0.0190476197749376,3.4285717010498047,False,3,1.0,22.0,1.0
256,0.0190476197749376,3.5714287757873535,False,2,1.0,23.0,1.0
256,0.0190476197749376,3.5714287757873535,False,3,1.0,23.0,1.0
256,0.0190476197749376,3.7142858505249023,False,2,1.0,24.0,1.0
256,0.0190476197749376,3.7142858505249023,False,3,1.0,24.0,1.0
256,0.0190476197749376,3.857142925262451,False,2,1.0,25.0,1.0
256,0.0190476197749376,3.857142925262451,False,3,1.0,25.0,1.0
256,0.0190476197749376,4.0,False,2,1.0,26.0,1.0
256,0.0190476197749376,4.0,False,3,1.0,26.0,1.0
256,0.0190476197749376,4.142857551574707,False,2,1.0,27.0,1.0
256,0.0190476197749376,4.142857551574707,False,3,1.0,27.0,1.0
256,0.0190476197749376,4.285714626312256,False,2,1.0,28.0,1.0
256,0.0190476197749376,4.285714626312256,False,3,1.0,28.0,1.0
256,0.0190476197749376,4.428571701049805,False,2,1.0,28.0,1.0
256,0.0190476197749376,4.428571701049805,False,3,1.0,28.0,1.0
256,0.0190476197749376,4.571428298950195,False,2,1.0,29.0,1.0
256,0.0190476197749376,4.571428298950195,False,3,1.0,29.0,1.0
256,0.0190476197749376,4.714285373687744,False,2,1.0,30.0,1.0
256,0.0190476197749376,4.714285373687744,False,3,1.0,30.0,1.0
256,0.0190476197749376,4.857142448425293,False,2,1.0,31.0,1.0
256,0.0190476197749376,4.857142448425293,False,3,1.0,31.0,1.0
256,0.0190476197749376,5.0,False,2,1.0,32.0,1.0
256,0.0190476197749376,5.0,False,3,1.0,32.0,1.0
256,0.0190476197749376,5.142857074737549,False,2,1.0,33.0,1.0
256,0.0190476197749376,5.142857074737549,False,3,1.0,33.0,1.0
256,0.0190476197749376,5.285714149475098,False,2,1.0,34.0,1.0
256,0.0190476197749376,5.285714149475098,False,3,1.0,34.0,1.0
256,0.0190476197749376,5.4285712242126465,False,2,1.0,35.0,1.0
256,0.0190476197749376,5.4285712242126465,False,3,1.0,35.0,1.0
256,0.0190476197749376,5.571428298950195,False,2,1.0,36.0,1.0
256,0.0190476197749376,5.571428298950195,False,3,1.0,36.0,1.0
256,0.0190476197749376,5.714285373687744,False,2,1.0,37.0,1.0
256,0.0190476197749376,5.714285373687744,False,3,1.0,37.0,1.0
256,0.0190476197749376,5.857142925262451,False,2,1.0,38.0,1.0
256,0.0190476197749376,5.857142925262451,False,3,1.0,38.0,1.0
256,0.0190476197749376,6.0,False,2,1.0,39.0,1.0
256,0.0190476197749376,6.0,False,3,1.0,39.0,1.0
256,0.0190476197749376,6.142857074737549,False,2,1.0,40.0,1.0
256,0.0190476197749376,6.142857074737549,False,3,1.0,40.0,1.0
256,0.0190476197749376,6.285714149475098,False,2,1.0,41.0,1.0
256,0.0190476197749376,6.285714149475098,False,3,1.0,41.0,1.0
256,0.0190476197749376,6.4285712242126465,False,2,1.0,42.0,1.0
256,0.0190476197749376,6.4285712242126465,False,3,1.0,42.0,1.0
256,0.0190476197749376,6.571428298950195,False,2,1.0,43.0,1.0
256,0.0190476197749376,6.571428298950195,False,3,1.0,43.0,1.0
256,0.0190476197749376,6.714285850524902,False,2,1.0,43.0,1.0
256,0.0190476197749376,6.714285850524902,False,3,1.0,43.0,1.0
256,0.0190476197749376,6.857142925262451,False,2,1.0,44.0,1.0
256,0.0190476197749376,6.857142925262451,False,3,1.0,44.0,1.0
256,0.0190476197749376,7.0,False,2,1.0,45.0,1.0
256,0.0190476197749376,7.0,False,3,1.0,45.0,1.0
256,0.0190476197749376,7.142857074737549,False,2,1.0,46.0,1.0
256,0.0190476197749376,7.142857074737549,False,3,1.0,46.0,1.0
256,0.0190476197749376,7.285714149475098,False,2,1.0,47.0,1.0
256,0.0190476197749376,7.285714149475098,False,3,1.0,47.0,1.0
256,0.0190476197749376,7.4285712242126465,False,2,1.0,48.0,1.0
256,0.0190476197749376,7.4285712242126465,False,3,1.0,48.0,1.0
256,0.0190476197749376,7.571428298950195,False,2,1.0,49.0,1.0
256,0.0190476197749376,7.571428298950195,False,3,1.0,49.0,1.0
256,0.0190476197749376,7.714285850524902,False,2,1.0,50.0,1.0
256,0.0190476197749376,7.714285850524902,False,3,1.0,50.0,1.0
256,0.0190476197749376,7.857142925262451,False,2,1.0,51.0,1.0
256,0.0190476197749376,7.857142925262451,False,3,1.0,51.0,1.0
256,0.0190476197749376,8.0,False,2,1.0,52.0,1.0
256,0.0190476197749376,8.0,False,3,1.0,52.0,1.0
256,0.0190476197749376,8.142857551574707,False,2,1.0,53.0,1.0
256,0.0190476197749376,8.142857551574707,False,3,1.0,53.0,1.0
256,0.0190476197749376,8.285714149475098,False,2,1.0,54.0,1.0
256,0.0190476197749376,8.285714149475098,False,3,1.0,54.0,1.0
256,0.0190476197749376,8.428571701049805,False,2,1.0,55.0,1.0
256,0.0190476197749376,8.428571701049805,False,3,1.0,55.0,1.0
256,0.0190476197749376,8.571428298950195,False,2,1.0,56.0,1.0
256,0.0190476197749376,8.571428298950195,False,3,1.0,56.0,1.0
256,0.0190476197749376,8.714285850524902,False,2,1.0,57.0,1.0
256,0.0190476197749376,8.714285850524902,False,3,1.0,57.0,1.0
256,0.0190476197749376,8.857142448425293,False,2,1.0,57.0,1.0
256,0.0190476197749376,8.857142448425293,False,3,1.0,57.0,1.0
256,0.0190476197749376,9.0,False,2,1.0,58.0,1.0
256,0.0190476197749376,9.0,False,3,1.0,58.0,1.0
256,0.0253968257457017,0.0,False,2,1.0,1.0,0.007667824074074074
256,0.0253968257457017,0.0,False,3,1.0,1.0,0.007906539351851852
256,0.0253968257457017,0.1428571492433548,False,2,1.0,1.0,0.007667824074074074
256,0.0253968257457017,0.1428571492433548,False,3,1.0,1.0,0.007906539351851852
256,0.0253968257457017,0.2857142984867096,False,2,1.0,1.0,0.007667824074074074
256,0.0253968257457017,0.2857142984867096,False,3,1.0,1.0,0.007906539351851852
256,0.0253968257457017,0.4285714626312256,False,2,1.0,2.0,0.014952256944444445
256,0.0253968257457017,0.4285714626312256,False,3,1.0,2.0,0.015874565972222223
256,0.0253968257457017,0.5714285969734192,False,2,1.0,3.0,0.03136935763888889
256,0.0253968257457017,0.5714285969734192,False,3,1.0,3.0,0.03153211805555556
256,0.0253968257457017,0.7142857313156128,False,2,1.0,4.0,0.06323784722222223
256,0.0253968257457017,0.7142857313156128,False,3,1.0,4.0,0.06329210069444445
256,0.0253968257457017,0.8571429252624512,False,2,1.0,5.0,0.12620442708333332
256,0.0253968257457017,0.8571429252624512,False,3,1.0,5.0,0.12389322916666666
256,0.0253968257457017,1.0,False,2,1.0,6.0,0.2439236111111111
256,0.0253968257457017,1.0,False,3,1.0,6.0,0.24446614583333334
256,0.0253968257457017,1.1428571939468384,False,2,1.0,7.0,0.42666015625
256,0.0253968257457017,1.1428571939468384,False,3,1.0,7.0,0.42902560763888886
256,0.0253968257457017,1.2857143878936768,False,2,1.0,8.0,0.6351453993055556
256,0.0253968257457017,1.2857143878936768,False,3,1.0,8.0,0.6256510416666666
256,0.0253968257457017,1.4285714626312256,False,2,1.0,9.0,0.7860460069444445
256,0.0253968257457017,1.4285714626312256,False,3,1.0,9.0,0.7776909722222223
256,0.0253968257457017,1.571428656578064,False,2,1.0,10.0,0.8888888888888888
256,0.0253968257457017,1.571428656578064,False,3,1.0,10.0,0.8774739583333333
256,0.0253968257457017,1.7142858505249023,False,2,1.0,11.0,0.9422960069444445
256,0.0253968257457017,1.7142858505249023,False,3,1.0,11.0,0.93896484375
256,0.0253968257457017,1.8571429252624512,False,2,1.0,12.0,0.9717881944444444
256,0.0253968257457017,1.8571429252624512,False,3,1.0,12.0,0.9684461805555555
256,0.0253968257457017,2.0,False,2,1.0,13.0,0.9848524305555556
256,0.0253968257457017,2.0,False,3,1.0,13.0,0.9834852430555555
256,0.0253968257457017,2.142857313156128,False,2,1.0,14.0,0.9920952690972222
256,0.0253968257457017,2.142857313156128,False,3,1.0,14.0,0.9918728298611111
256,0.0253968257457017,2.2857143878936768,False,2,1.0,14.0,0.9920952690972222
256,0.0253968257457017,2.2857143878936768,False,3,1.0,14.0,0.9918728298611111
256,0.0253968257457017,2.4285714626312256,False,2,1.0,15.0,0.9966362847222222
256,0.0253968257457017,2.4285714626312256,False,3,1.0,15.0,0.9963107638888888
256,0.0253968257457017,2.5714287757873535,False,2,1.0,16.0,0.9977430555555555
256,0.0253968257457017,2.5714287757873535,False,3,1.0,16.0,0.9978081597222223
256,0.0253968257457017,2.7142858505249023,False,2,1.0,17.0,0.9992296006944444
256,0.0253968257457017,2.7142858505249023,False,3,1.0,17.0,0.9985243055555556
256,0.0253968257457017,2.857142925262451,False,2,1.0,18.0,0.999609375
256,0.0253968257457017,2.857142925262451,False,3,1.0,18.0,0.9988715277777778
256,0.0253968257457017,3.000000238418579,False,2,1.0,19.0,0.9998046875
256,0.0253968257457017,3.000000238418579,False,3,1.0,19.0,0.9996202256944444
256,0.0253968257457017,3.142857313156128,False,2,1.0,20.0,1.0
256,0.0253968257457017,3.142857313156128,False,3,1.0,20.0,1.0
256,0.0253968257457017,3.2857143878936768,False,2,1.0,21.0,1.0
256,0.0253968257457017,3.2857143878936768,False,3,1.0,21.0,1.0
256,0.0253968257457017,3.4285717010498047,False,2,1.0,22.0,1.0
256,0.0253968257457017,3.4285717010498047,False,3,1.0,22.0,1.0
256,0.0253968257457017,3.5714287757873535,False,2,1.0,23.0,1.0
256,0.0253968257457017,3.5714287757873535,False,3,1.0,23.0,1.0
256,0.0253968257457017,3.7142858505249023,False,2,1.0,24.0,1.0
256,0.0253968257457017,3.7142858505249023,False,3,1.0,24.0,1.0
256,0.0253968257457017,3.857142925262451,False,2,1.0,25.0,1.0
256,0.0253968257457017,3.857142925262451,False,3,1.0,25.0,1.0
256,0.0253968257457017,4.0,False,2,1.0,26.0,1.0
256,0.0253968257457017,4.0,False,3,1.0,26.0,1.0
256,0.0253968257457017,4.142857551574707,False,2,1.0,27.0,1.0
256,0.0253968257457017,4.142857551574707,False,3,1.0,27.0,1.0
256,0.0253968257457017,4.285714626312256,False,2,1.0,28.0,1.0
256,0.0253968257457017,4.285714626312256,False,3,1.0,28.0,1.0
256,0.0253968257457017,4.428571701049805,False,2,1.0,28.0,1.0
256,0.0253968257457017,4.428571701049805,False,3,1.0,28.0,1.0
256,0.0253968257457017,4.571428298950195,False,2,1.0,29.0,1.0
256,0.0253968257457017,4.571428298950195,False,3,1.0,29.0,1.0
256,0.0253968257457017,4.714285373687744,False,2,1.0,30.0,1.0
256,0.0253968257457017,4.714285373687744,False,3,1.0,30.0,1.0
256,0.0253968257457017,4.857142448425293,False,2,1.0,31.0,1.0
256,0.0253968257457017,4.857142448425293,False,3,1.0,31.0,1.0
256,0.0253968257457017,5.0,False,2,1.0,32.0,1.0
256,0.0253968257457017,5.0,False,3,1.0,32.0,1.0
256,0.0253968257457017,5.142857074737549,False,2,1.0,33.0,1.0
256,0.0253968257457017,5.142857074737549,False,3,1.0,33.0,1.0
256,0.0253968257457017,5.285714149475098,False,2,1.0,34.0,1.0
256,0.0253968257457017,5.285714149475098,False,3,1.0,34.0,1.0
256,0.0253968257457017,5.4285712242126465,False,2,1.0,35.0,1.0
256,0.0253968257457017,5.4285712242126465,False,3,1.0,35.0,1.0
256,0.0253968257457017,5.571428298950195,False,2,1.0,36.0,1.0
256,0.0253968257457017,5.571428298950195,False,3,1.0,36.0,1.0
256,0.0253968257457017,5.714285373687744,False,2,1.0,37.0,1.0
256,0.0253968257457017,5.714285373687744,False,3,1.0,37.0,1.0
256,0.0253968257457017,5.857142925262451,False,2,1.0,38.0,1.0
256,0.0253968257457017,5.857142925262451,False,3,1.0,38.0,1.0
256,0.0253968257457017,6.0,False,2,1.0,39.0,1.0
256,0.0253968257457017,6.0,False,3,1.0,39.0,1.0
256,0.0253968257457017,6.142857074737549,False,2,1.0,40.0,1.0
256,0.0253968257457017,6.142857074737549,False,3,1.0,40.0,1.0
256,0.0253968257457017,6.285714149475098,False,2,1.0,41.0,1.0
256,0.0253968257457017,6.285714149475098,False,3,1.0,41.0,1.0
256,0.0253968257457017,6.4285712242126465,False,2,1.0,42.0,1.0
256,0.0253968257457017,6.4285712242126465,False,3,1.0,42.0,1.0
256,0.0253968257457017,6.571428298950195,False,2,1.0,43.0,1.0
256,0.0253968257457017,6.571428298950195,False,3,1.0,43.0,1.0
256,0.0253968257457017,6.714285850524902,False,2,1.0,43.0,1.0
256,0.0253968257457017,6.714285850524902,False,3,1.0,43.0,1.0
256,0.0253968257457017,6.857142925262451,False,2,1.0,44.0,1.0
256,0.0253968257457017,6.857142925262451,False,3,1.0,44.0,1.0
256,0.0253968257457017,7.0,False,2,1.0,45.0,1.0
256,0.0253968257457017,7.0,False,3,1.0,45.0,1.0
256,0.0253968257457017,7.142857074737549,False,2,1.0,46.0,1.0
256,0.0253968257457017,7.142857074737549,False,3,1.0,46.0,1.0
256,0.0253968257457017,7.285714149475098,False,2,1.0,47.0,1.0
256,0.0253968257457017,7.285714149475098,False,3,1.0,47.0,1.0
256,0.0253968257457017,7.4285712242126465,False,2,1.0,48.0,1.0
256,0.0253968257457017,7.4285712242126465,False,3,1.0,48.0,1.0
256,0.0253968257457017,7.571428298950195,False,2,1.0,49.0,1.0
256,0.0253968257457017,7.571428298950195,False,3,1.0,49.0,1.0
256,0.0253968257457017,7.714285850524902,False,2,1.0,50.0,1.0
256,0.0253968257457017,7.714285850524902,False,3,1.0,50.0,1.0
256,0.0253968257457017,7.857142925262451,False,2,1.0,51.0,1.0
256,0.0253968257457017,7.857142925262451,False,3,1.0,51.0,1.0
256,0.0253968257457017,8.0,False,2,1.0,52.0,1.0
256,0.0253968257457017,8.0,False,3,1.0,52.0,1.0
256,0.0253968257457017,8.142857551574707,False,2,1.0,53.0,1.0
256,0.0253968257457017,8.142857551574707,False,3,1.0,53.0,1.0
256,0.0253968257457017,8.285714149475098,False,2,1.0,54.0,1.0
256,0.0253968257457017,8.285714149475098,False,3,1.0,54.0,1.0
256,0.0253968257457017,8.428571701049805,False,2,1.0,55.0,1.0
256,0.0253968257457017,8.428571701049805,False,3,1.0,55.0,1.0
256,0.0253968257457017,8.571428298950195,False,2,1.0,56.0,1.0
256,0.0253968257457017,8.571428298950195,False,3,1.0,56.0,1.0
256,0.0253968257457017,8.714285850524902,False,2,1.0,57.0,1.0
256,0.0253968257457017,8.714285850524902,False,3,1.0,57.0,1.0
256,0.0253968257457017,8.857142448425293,False,2,1.0,57.0,1.0
256,0.0253968257457017,8.857142448425293,False,3,1.0,57.0,1.0
256,0.0253968257457017,9.0,False,2,1.0,58.0,1.0
256,0.0253968257457017,9.0,False,3,1.0,58.0,1.0
256,0.0317460335791111,0.0,False,2,1.0,1.0,0.007667824074074074
256,0.0317460335791111,0.0,False,3,1.0,1.0,0.007906539351851852
256,0.0317460335791111,0.1428571492433548,False,2,1.0,1.0,0.007667824074074074
256,0.0317460335791111,0.1428571492433548,False,3,1.0,1.0,0.007906539351851852
256,0.0317460335791111,0.2857142984867096,False,2,1.0,1.0,0.007667824074074074
256,0.0317460335791111,0.2857142984867096,False,3,1.0,1.0,0.007906539351851852
256,0.0317460335791111,0.4285714626312256,False,2,1.0,2.0,0.014952256944444445
256,0.0317460335791111,0.4285714626312256,False,3,1.0,2.0,0.015874565972222223
256,0.0317460335791111,0.5714285969734192,False,2,1.0,3.0,0.03136935763888889
256,0.0317460335791111,0.5714285969734192,False,3,1.0,3.0,0.03153211805555556
256,0.0317460335791111,0.7142857313156128,False,2,1.0,4.0,0.06323784722222223
256,0.0317460335791111,0.7142857313156128,False,3,1.0,4.0,0.06329210069444445
256,0.0317460335791111,0.8571429252624512,False,2,1.0,5.0,0.12620442708333332
256,0.0317460335791111,0.8571429252624512,False,3,1.0,5.0,0.12389322916666666
256,0.0317460335791111,1.0,False,2,1.0,6.0,0.2439236111111111
256,0.0317460335791111,1.0,False,3,1.0,6.0,0.24446614583333334
256,0.0317460335791111,1.1428571939468384,False,2,1.0,7.0,0.42666015625
256,0.0317460335791111,1.1428571939468384,False,3,1.0,7.0,0.42902560763888886
256,0.0317460335791111,1.2857143878936768,False,2,1.0,8.0,0.6351453993055556
256,0.0317460335791111,1.2857143878936768,False,3,1.0,8.0,0.6256510416666666
256,0.0317460335791111,1.4285714626312256,False,2,1.0,9.0,0.7860460069444445
256,0.0317460335791111,1.4285714626312256,False,3,1.0,9.0,0.7776909722222223
256,0.0317460335791111,1.571428656578064,False,2,1.0,10.0,0.8888888888888888
256,0.0317460335791111,1.571428656578064,False,3,1.0,10.0,0.8774739583333333
256,0.0317460335791111,1.7142858505249023,False,2,1.0,11.0,0.9422960069444445
256,0.0317460335791111,1.7142858505249023,False,3,1.0,11.0,0.93896484375
256,0.0317460335791111,1.8571429252624512,False,2,1.0,12.0,0.9717881944444444
256,0.0317460335791111,1.8571429252624512,False,3,1.0,12.0,0.9684461805555555
256,0.0317460335791111,2.0,False,2,1.0,13.0,0.9848524305555556
256,0.0317460335791111,2.0,False,3,1.0,13.0,0.9834852430555555
256,0.0317460335791111,2.142857313156128,False,2,1.0,14.0,0.9920952690972222
256,0.0317460335791111,2.142857313156128,False,3,1.0,14.0,0.9918728298611111
256,0.0317460335791111,2.2857143878936768,False,2,1.0,14.0,0.9920952690972222
256,0.0317460335791111,2.2857143878936768,False,3,1.0,14.0,0.9918728298611111
256,0.0317460335791111,2.4285714626312256,False,2,1.0,15.0,0.9966362847222222
256,0.0317460335791111,2.4285714626312256,False,3,1.0,15.0,0.9963107638888888
256,0.0317460335791111,2.5714287757873535,False,2,1.0,16.0,0.9977430555555555
256,0.0317460335791111,2.5714287757873535,False,3,1.0,16.0,0.9978081597222223
256,0.0317460335791111,2.7142858505249023,False,2,1.0,17.0,0.9992296006944444
256,0.0317460335791111,2.7142858505249023,False,3,1.0,17.0,0.9985243055555556
256,0.0317460335791111,2.857142925262451,False,2,1.0,18.0,0.999609375
256,0.0317460335791111,2.857142925262451,False,3,1.0,18.0,0.9988715277777778
256,0.0317460335791111,3.000000238418579,False,2,1.0,19.0,0.9998046875
256,0.0317460335791111,3.000000238418579,False,3,1.0,19.0,0.9996202256944444
256,0.0317460335791111,3.142857313156128,False,2,1.0,20.0,1.0
256,0.0317460335791111,3.142857313156128,False,3,1.0,20.0,1.0
256,0.0317460335791111,3.2857143878936768,False,2,1.0,21.0,1.0
256,0.0317460335791111,3.2857143878936768,False,3,1.0,21.0,1.0
256,0.0317460335791111,3.4285717010498047,False,2,1.0,22.0,1.0
256,0.0317460335791111,3.4285717010498047,False,3,1.0,22.0,1.0
256,0.0317460335791111,3.5714287757873535,False,2,1.0,23.0,1.0
256,0.0317460335791111,3.5714287757873535,False,3,1.0,23.0,1.0
256,0.0317460335791111,3.7142858505249023,False,2,1.0,24.0,1.0
256,0.0317460335791111,3.7142858505249023,False,3,1.0,24.0,1.0
256,0.0317460335791111,3.857142925262451,False,2,1.0,25.0,1.0
256,0.0317460335791111,3.857142925262451,False,3,1.0,25.0,1.0
256,0.0317460335791111,4.0,False,2,1.0,26.0,1.0
256,0.0317460335791111,4.0,False,3,1.0,26.0,1.0
256,0.0317460335791111,4.142857551574707,False,2,1.0,27.0,1.0
256,0.0317460335791111,4.142857551574707,False,3,1.0,27.0,1.0
256,0.0317460335791111,4.285714626312256,False,2,1.0,28.0,1.0
256,0.0317460335791111,4.285714626312256,False,3,1.0,28.0,1.0
256,0.0317460335791111,4.428571701049805,False,2,1.0,28.0,1.0
256,0.0317460335791111,4.428571701049805,False,3,1.0,28.0,1.0
256,0.0317460335791111,4.571428298950195,False,2,1.0,29.0,1.0
256,0.0317460335791111,4.571428298950195,False,3,1.0,29.0,1.0
256,0.0317460335791111,4.714285373687744,False,2,1.0,30.0,1.0
256,0.0317460335791111,4.714285373687744,False,3,1.0,30.0,1.0
256,0.0317460335791111,4.857142448425293,False,2,1.0,31.0,1.0
256,0.0317460335791111,4.857142448425293,False,3,1.0,31.0,1.0
256,0.0317460335791111,5.0,False,2,1.0,32.0,1.0
256,0.0317460335791111,5.0,False,3,1.0,32.0,1.0
256,0.0317460335791111,5.142857074737549,False,2,1.0,33.0,1.0
