n,eta,factor,threshold,max_steps,k,d,acc
1024,0.0063492064364254,5.285714149475098,False,1,1.0,41.0,1.0
1024,0.0063492064364254,5.285714149475098,False,4,1.0,41.0,1.0
1024,0.0063492064364254,5.285714149475098,False,64,1.0,41.0,1.0
1024,0.0063492064364254,5.285714149475098,True,1,1.0,41.0,1.0
1024,0.0063492064364254,5.4285712242126465,False,1,1.0,43.0,1.0
1024,0.0063492064364254,5.4285712242126465,False,4,1.0,43.0,1.0
1024,0.0063492064364254,5.4285712242126465,False,64,1.0,43.0,1.0
1024,0.0063492064364254,5.4285712242126465,True,1,1.0,43.0,1.0
1024,0.0063492064364254,5.571428298950195,False,1,1.0,44.0,1.0
1024,0.0063492064364254,5.571428298950195,False,4,1.0,44.0,1.0
1024,0.0063492064364254,5.571428298950195,False,64,1.0,44.0,1.0
1024,0.0063492064364254,5.571428298950195,True,1,1.0,44.0,1.0
1024,0.0063492064364254,5.714285373687744,False,1,1.0,45.0,1.0
1024,0.0063492064364254,5.714285373687744,False,4,1.0,45.0,1.0
1024,0.0063492064364254,5.714285373687744,False,64,1.0,45.0,1.0
1024,0.0063492064364254,5.714285373687744,True,1,1.0,45.0,1.0
1024,0.0063492064364254,5.857142925262451,False,1,1.0,46.0,1.0
1024,0.0063492064364254,5.857142925262451,False,4,1.0,46.0,1.0
1024,0.0063492064364254,5.857142925262451,False,64,1.0,46.0,1.0
1024,0.0063492064364254,5.857142925262451,True,1,1.0,46.0,1.0
1024,0.0063492064364254,6.0,False,1,1.0,47.0,1.0
1024,0.0063492064364254,6.0,False,4,1.0,47.0,1.0
1024,0.0063492064364254,6.0,False,64,1.0,47.0,1.0
1024,0.0063492064364254,6.0,True,1,1.0,47.0,1.0
1024,0.0063492064364254,6.142857074737549,False,1,1.0,48.0,1.0
1024,0.0063492064364254,6.142857074737549,False,4,1.0,48.0,1.0
1024,0.0063492064364254,6.142857074737549,False,64,1.0,48.0,1.0
1024,0.0063492064364254,6.142857074737549,True,1,1.0,48.0,1.0
1024,0.0063492064364254,6.285714149475098,False,1,1.0,49.0,1.0
1024,0.0063492064364254,6.285714149475098,False,4,1.0,49.0,1.0
1024,0.0063492064364254,6.285714149475098,False,64,1.0,49.0,1.0
1024,0.0063492064364254,6.285714149475098,True,1,1.0,49.0,1.0
1024,0.0063492064364254,6.4285712242126465,False,1,1.0,50.0,1.0
1024,0.0063492064364254,6.4285712242126465,False,4,1.0,50.0,1.0
1024,0.0063492064364254,6.4285712242126465,False,64,1.0,50.0,1.0
1024,0.0063492064364254,6.4285712242126465,True,1,1.0,50.0,1.0
1024,0.0063492064364254,6.571428298950195,False,1,1.0,52.0,1.0
1024,0.0063492064364254,6.571428298950195,False,4,1.0,52.0,1.0
1024,0.0063492064364254,6.571428298950195,False,64,1.0,52.0,1.0
1024,0.0063492064364254,6.571428298950195,True,1,1.0,52.0,1.0
1024,0.0063492064364254,6.714285850524902,False,1,1.0,53.0,1.0
1024,0.0063492064364254,6.714285850524902,False,4,1.0,53.0,1.0
1024,0.0063492064364254,6.714285850524902,False,64,1.0,53.0,1.0
1024,0.0063492064364254,6.714285850524902,True,1,1.0,53.0,1.0
1024,0.0063492064364254,6.857142925262451,False,1,1.0,54.0,1.0
1024,0.0063492064364254,6.857142925262451,False,4,1.0,54.0,1.0
1024,0.0063492064364254,6.857142925262451,False,64,1.0,54.0,1.0
1024,0.0063492064364254,6.857142925262451,True,1,1.0,54.0,1.0
1024,0.0063492064364254,7.0,False,1,1.0,55.0,1.0
1024,0.0063492064364254,7.0,False,4,1.0,55.0,1.0
1024,0.0063492064364254,7.0,False,64,1.0,55.0,1.0
1024,0.0063492064364254,7.0,True,1,1.0,55.0,1.0
1024,0.0063492064364254,7.142857074737549,False,1,1.0,56.0,1.0
1024,0.0063492064364254,7.142857074737549,False,4,1.0,56.0,1.0
1024,0.0063492064364254,7.142857074737549,False,64,1.0,56.0,1.0
1024,0.0063492064364254,7.142857074737549,True,1,1.0,56.0,1.0
1024,0.0063492064364254,7.285714149475098,False,1,1.0,57.0,1.0
1024,0.0063492064364254,7.285714149475098,False,4,1.0,57.0,1.0
1024,0.0063492064364254,7.285714149475098,False,64,1.0,57.0,1.0
1024,0.0063492064364254,7.285714149475098,True,1,1.0,57.0,1.0
1024,0.0063492064364254,7.4285712242126465,False,1,1.0,58.0,1.0
1024,0.0063492064364254,7.4285712242126465,False,4,1.0,58.0,1.0
1024,0.0063492064364254,7.4285712242126465,False,64,1.0,58.0,1.0
1024,0.0063492064364254,7.4285712242126465,True,1,1.0,58.0,1.0
1024,0.0063492064364254,7.571428298950195,False,1,1.0,60.0,1.0
1024,0.0063492064364254,7.571428298950195,False,4,1.0,60.0,1.0
1024,0.0063492064364254,7.571428298950195,False,64,1.0,60.0,1.0
1024,0.0063492064364254,7.571428298950195,True,1,1.0,60.0,1.0
1024,0.0063492064364254,7.714285850524902,False,1,1.0,61.0,1.0
1024,0.0063492064364254,7.714285850524902,False,4,1.0,61.0,1.0
1024,0.0063492064364254,7.714285850524902,False,64,1.0,61.0,1.0
1024,0.0063492064364254,7.714285850524902,True,1,1.0,61.0,1.0
1024,0.0063492064364254,7.857142925262451,False,1,1.0,62.0,1.0
1024,0.0063492064364254,7.857142925262451,False,4,1.0,62.0,1.0
1024,0.0063492064364254,7.857142925262451,False,64,1.0,62.0,1.0
1024,0.0063492064364254,7.857142925262451,True,1,1.0,62.0,1.0
1024,0.0063492064364254,8.0,False,1,1.0,63.0,1.0
1024,0.0063492064364254,8.0,False,4,1.0,63.0,1.0
1024,0.0063492064364254,8.0,False,64,1.0,63.0,1.0
1024,0.0063492064364254,8.0,True,1,1.0,63.0,1.0
1024,0.0063492064364254,8.142857551574707,False,1,1.0,64.0,1.0
1024,0.0063492064364254,8.142857551574707,False,4,1.0,64.0,1.0
1024,0.0063492064364254,8.142857551574707,False,64,1.0,64.0,1.0
1024,0.0063492064364254,8.142857551574707,True,1,1.0,64.0,1.0
1024,0.0063492064364254,8.285714149475098,False,1,1.0,65.0,1.0
1024,0.0063492064364254,8.285714149475098,False,4,1.0,65.0,1.0
1024,0.0063492064364254,8.285714149475098,False,64,1.0,65.0,1.0
1024,0.0063492064364254,8.285714149475098,True,1,1.0,65.0,1.0
1024,0.0063492064364254,8.428571701049805,False,1,1.0,66.0,1.0
1024,0.0063492064364254,8.428571701049805,False,4,1.0,66.0,1.0
1024,0.0063492064364254,8.428571701049805,False,64,1.0,66.0,1.0
1024,0.0063492064364254,8.428571701049805,True,1,1.0,66.0,1.0
1024,0.0063492064364254,8.571428298950195,False,1,1.0,67.0,1.0
1024,0.0063492064364254,8.571428298950195,False,4,1.0,67.0,1.0
1024,0.0063492064364254,8.571428298950195,False,64,1.0,67.0,1.0
1024,0.0063492064364254,8.571428298950195,True,1,1.0,67.0,1.0
1024,0.0063492064364254,8.714285850524902,False,1,1.0,69.0,1.0
1024,0.0063492064364254,8.714285850524902,False,4,1.0,69.0,1.0
1024,0.0063492064364254,8.714285850524902,False,64,1.0,69.0,1.0
1024,0.0063492064364254,8.714285850524902,True,1,1.0,69.0,1.0
1024,0.0063492064364254,8.857142448425293,False,1,1.0,70.0,1.0
1024,0.0063492064364254,8.857142448425293,False,4,1.0,70.0,1.0
1024,0.0063492064364254,8.857142448425293,False,64,1.0,70.0,1.0
1024,0.0063492064364254,8.857142448425293,True,1,1.0,70.0,1.0
1024,0.0063492064364254,9.0,False,1,1.0,71.0,1.0
1024,0.0063492064364254,9.0,False,4,1.0,71.0,1.0
1024,0.0063492064364254,9.0,False,64,1.0,71.0,1.0
1024,0.0063492064364254,9.0,True,1,1.0,71.0,1.0
1024,0.0126984128728508,0.0,False,1,1.0,1.0,0.002016934481534091
1024,0.0126984128728508,0.0,False,4,1.0,1.0,0.002141779119318182
1024,0.0126984128728508,0.0,False,64,1.0,1.0,0.0019142844460227273
1024,0.0126984128728508,0.0,True,1,1.0,1.0,0.0
1024,0.0126984128728508,0.1428571492433548,False,1,1.0,1.0,0.002016934481534091
1024,0.0126984128728508,0.1428571492433548,False,4,1.0,1.0,0.002141779119318182
1024,0.0126984128728508,0.1428571492433548,False,64,1.0,1.0,0.0019142844460227273
1024,0.0126984128728508,0.1428571492433548,True,1,1.0,1.0,0.0
1024,0.0126984128728508,0.2857142984867096,False,1,1.0,2.0,0.0038618607954545455
1024,0.0126984128728508,0.2857142984867096,False,4,1.0,2.0,0.004100452769886364
1024,0.0126984128728508,0.2857142984867096,False,64,1.0,2.0,0.0038674094460227275
1024,0.0126984128728508,0.2857142984867096,True,1,1.0,2.0,0.0
1024,0.0126984128728508,0.4285714626312256,False,1,1.0,3.0,0.00784024325284091
1024,0.0126984128728508,0.4285714626312256,False,4,1.0,3.0,0.007701526988636364
1024,0.0126984128728508,0.4285714626312256,False,64,1.0,3.0,0.007679332386363636
1024,0.0126984128728508,0.4285714626312256,True,1,1.0,3.0,0.0
1024,0.0126984128728508,0.5714285969734192,False,1,1.0,4.0,0.015458540482954546
1024,0.0126984128728508,0.5714285969734192,False,4,1.0,4.0,0.015697132457386364
1024,0.0126984128728508,0.5714285969734192,False,64,1.0,4.0,0.015514026988636364
1024,0.0126984128728508,0.5714285969734192,True,1,1.0,4.0,0.0
1024,0.0126984128728508,0.7142857313156128,False,1,1.0,5.0,0.03051202947443182
1024,0.0126984128728508,0.7142857313156128,False,4,1.0,5.0,0.0306396484375
1024,0.0126984128728508,0.7142857313156128,False,64,1.0,5.0,0.03127219460227273
1024,0.0126984128728508,0.7142857313156128,True,1,1.0,5.0,0.0
1024,0.0126984128728508,0.8571429252624512,False,1,1.0,6.0,0.06252219460227272
1024,0.0126984128728508,0.8571429252624512,False,4,1.0,6.0,0.06328790838068182
1024,0.0126984128728508,0.8571429252624512,False,64,1.0,6.0,0.06193958629261364
1024,0.0126984128728508,0.8571429252624512,True,1,1.0,6.0,0.0
1024,0.0126984128728508,1.0,False,1,1.0,7.0,0.12517200816761365
1024,0.0126984128728508,1.0,False,4,1.0,7.0,0.12509987571022727
1024,0.0126984128728508,1.0,False,64,1.0,7.0,0.1253939541903409
1024,0.0126984128728508,1.0,True,1,1.0,7.0,0.0
1024,0.0126984128728508,1.1428571939468384,False,1,1.0,9.0,0.4312189275568182
1024,0.0126984128728508,1.1428571939468384,False,4,1.0,9.0,0.4335271661931818
1024,0.0126984128728508,1.1428571939468384,False,64,1.0,9.0,0.4318514737215909
1024,0.0126984128728508,1.1428571939468384,True,1,1.0,9.0,0.0
1024,0.0126984128728508,1.2857143878936768,False,1,1.0,10.0,0.6315640536221591
1024,0.0126984128728508,1.2857143878936768,False,4,1.0,10.0,0.6317527077414773
1024,0.0126984128728508,1.2857143878936768,False,64,1.0,10.0,0.6325517134232954
1024,0.0126984128728508,1.2857143878936768,True,1,1.0,10.0,0.0
1024,0.0126984128728508,1.4285714626312256,False,1,1.0,11.0,0.7873424183238636
1024,0.0126984128728508,1.4285714626312256,False,4,1.0,11.0,0.7895674272017046
1024,0.0126984128728508,1.4285714626312256,False,64,1.0,11.0,0.7886408025568182
1024,0.0126984128728508,1.4285714626312256,True,1,1.0,11.0,0.0
1024,0.0126984128728508,1.571428656578064,False,1,1.0,12.0,0.8860085227272727
1024,0.0126984128728508,1.571428656578064,False,4,1.0,12.0,0.8863303444602273
1024,0.0126984128728508,1.571428656578064,False,64,1.0,12.0,0.8870905095880682
1024,0.0126984128728508,1.571428656578064,True,1,1.0,12.0,0.0
1024,0.0126984128728508,1.7142858505249023,False,1,1.0,13.0,0.9404796253551136
1024,0.0126984128728508,1.7142858505249023,False,4,1.0,13.0,0.9425603693181818
1024,0.0126984128728508,1.7142858505249023,False,64,1.0,13.0,0.9403742009943182
1024,0.0126984128728508,1.7142858505249023,True,1,1.0,13.0,0.0
1024,0.0126984128728508,1.8571429252624512,False,1,1.0,14.0,0.9694435813210227
1024,0.0126984128728508,1.8571429252624512,False,4,1.0,14.0,0.9716242009943182
1024,0.0126984128728508,1.8571429252624512,False,64,1.0,14.0,0.9703535600142046
1024,0.0126984128728508,1.8571429252624512,True,1,1.0,14.0,1.0
1024,0.0126984128728508,2.0,False,1,1.0,15.0,0.9845248135653409
1024,0.0126984128728508,2.0,False,4,1.0,15.0,0.9853793057528409
1024,0.0126984128728508,2.0,False,64,1.0,15.0,0.98443603515625
1024,0.0126984128728508,2.0,True,1,1.0,15.0,1.0
1024,0.0126984128728508,2.142857313156128,False,1,1.0,16.0,0.9915272105823864
1024,0.0126984128728508,2.142857313156128,False,4,1.0,16.0,0.9931807084517046
1024,0.0126984128728508,2.142857313156128,False,64,1.0,16.0,0.9923262162642046
1024,0.0126984128728508,2.142857313156128,True,1,1.0,16.0,1.0
1024,0.0126984128728508,2.2857143878936768,False,1,1.0,18.0,0.9980080344460227
1024,0.0126984128728508,2.2857143878936768,False,4,1.0,18.0,0.9978748668323864
1024,0.0126984128728508,2.2857143878936768,False,64,1.0,18.0,0.99798583984375
1024,0.0126984128728508,2.2857143878936768,True,1,1.0,18.0,1.0
1024,0.0126984128728508,2.4285714626312256,False,1,1.0,19.0,0.9988958185369318
1024,0.0126984128728508,2.4285714626312256,False,4,1.0,19.0,0.9992120916193182
1024,0.0126984128728508,2.4285714626312256,False,64,1.0,19.0,0.9988791725852273
1024,0.0126984128728508,2.4285714626312256,True,1,1.0,19.0,1.0
1024,0.0126984128728508,2.5714287757873535,False,1,1.0,20.0,0.9994118430397727
1024,0.0126984128728508,2.5714287757873535,False,4,1.0,20.0,0.9994728781960227
1024,0.0126984128728508,2.5714287757873535,False,64,1.0,20.0,0.9996892755681818
1024,0.0126984128728508,2.5714287757873535,True,1,1.0,20.0,1.0
1024,0.0126984128728508,2.7142858505249023,False,1,1.0,21.0,0.9996781782670454
1024,0.0126984128728508,2.7142858505249023,False,4,1.0,21.0,0.9997780539772727
1024,0.0126984128728508,2.7142858505249023,False,64,1.0,21.0,0.99981689453125
1024,0.0126984128728508,2.7142858505249023,True,1,1.0,21.0,1.0
1024,0.0126984128728508,2.857142925262451,False,1,1.0,22.0,0.9998002485795454
1024,0.0126984128728508,2.857142925262451,False,4,1.0,22.0,0.9998723810369318
1024,0.0126984128728508,2.857142925262451,False,64,1.0,22.0,0.9999556107954546
1024,0.0126984128728508,2.857142925262451,True,1,1.0,22.0,1.0
1024,0.0126984128728508,3.000000238418579,False,1,1.0,23.0,0.9999722567471591
1024,0.0126984128728508,3.000000238418579,False,4,1.0,23.0,0.9999611594460227
1024,0.0126984128728508,3.000000238418579,False,64,1.0,23.0,0.9999722567471591
1024,0.0126984128728508,3.000000238418579,True,1,1.0,23.0,1.0
1024,0.0126984128728508,3.142857313156128,False,1,1.0,24.0,0.9999778053977273
1024,0.0126984128728508,3.142857313156128,False,4,1.0,24.0,1.0
1024,0.0126984128728508,3.142857313156128,False,64,1.0,24.0,0.9999889026988636
1024,0.0126984128728508,3.142857313156128,True,1,1.0,24.0,1.0
1024,0.0126984128728508,3.2857143878936768,False,1,1.0,26.0,1.0
1024,0.0126984128728508,3.2857143878936768,False,4,1.0,26.0,1.0
1024,0.0126984128728508,3.2857143878936768,False,64,1.0,26.0,0.9999611594460227
1024,0.0126984128728508,3.2857143878936768,True,1,1.0,26.0,1.0
1024,0.0126984128728508,3.4285717010498047,False,1,1.0,27.0,1.0
1024,0.0126984128728508,3.4285717010498047,False,4,1.0,27.0,1.0
1024,0.0126984128728508,3.4285717010498047,False,64,1.0,27.0,0.9999833540482954
1024,0.0126984128728508,3.4285717010498047,True,1,1.0,27.0,1.0
1024,0.0126984128728508,3.5714287757873535,False,1,1.0,28.0,1.0
1024,0.0126984128728508,3.5714287757873535,False,4,1.0,28.0,1.0
1024,0.0126984128728508,3.5714287757873535,False,64,1.0,28.0,0.9999889026988636
1024,0.0126984128728508,3.5714287757873535,True,1,1.0,28.0,1.0
1024,0.0126984128728508,3.7142858505249023,False,1,1.0,29.0,1.0
1024,0.0126984128728508,3.7142858505249023,False,4,1.0,29.0,1.0
1024,0.0126984128728508,3.7142858505249023,False,64,1.0,29.0,0.9999722567471591
1024,0.0126984128728508,3.7142858505249023,True,1,1.0,29.0,1.0
1024,0.0126984128728508,3.857142925262451,False,1,1.0,30.0,1.0
1024,0.0126984128728508,3.857142925262451,False,4,1.0,30.0,1.0
1024,0.0126984128728508,3.857142925262451,False,64,1.0,30.0,1.0
1024,0.0126984128728508,3.857142925262451,True,1,1.0,30.0,1.0
1024,0.0126984128728508,4.0,False,1,1.0,31.0,1.0
1024,0.0126984128728508,4.0,False,4,1.0,31.0,1.0
1024,0.0126984128728508,4.0,False,64,1.0,31.0,1.0
1024,0.0126984128728508,4.0,True,1,1.0,31.0,1.0
1024,0.0126984128728508,4.142857551574707,False,1,1.0,32.0,1.0
1024,0.0126984128728508,4.142857551574707,False,4,1.0,32.0,1.0
1024,0.0126984128728508,4.142857551574707,False,64,1.0,32.0,1.0
1024,0.0126984128728508,4.142857551574707,True,1,1.0,32.0,1.0
1024,0.0126984128728508,4.285714626312256,False,1,1.0,33.0,1.0
1024,0.0126984128728508,4.285714626312256,False,4,1.0,33.0,1.0
1024,0.0126984128728508,4.285714626312256,False,64,1.0,33.0,1.0
1024,0.0126984128728508,4.285714626312256,True,1,1.0,33.0,1.0
1024,0.0126984128728508,4.428571701049805,False,1,1.0,35.0,1.0
1024,0.0126984128728508,4.428571701049805,False,4,1.0,35.0,1.0
1024,0.0126984128728508,4.428571701049805,False,64,1.0,35.0,1.0
1024,0.0126984128728508,4.428571701049805,True,1,1.0,35.0,1.0
1024,0.0126984128728508,4.571428298950195,False,1,1.0,36.0,1.0
1024,0.0126984128728508,4.571428298950195,False,4,1.0,36.0,1.0
1024,0.0126984128728508,4.571428298950195,False,64,1.0,36.0,1.0
1024,0.0126984128728508,4.571428298950195,True,1,1.0,36.0,1.0
1024,0.0126984128728508,4.714285373687744,False,1,1.0,37.0,1.0
1024,0.0126984128728508,4.714285373687744,False,4,1.0,37.0,1.0
1024,0.0126984128728508,4.714285373687744,False,64,1.0,37.0,1.0
1024,0.0126984128728508,4.714285373687744,True,1,1.0,37.0,1.0
1024,0.0126984128728508,4.857142448425293,False,1,1.0,38.0,1.0
1024,0.0126984128728508,4.857142448425293,False,4,1.0,38.0,1.0
1024,0.0126984128728508,4.857142448425293,False,64,1.0,38.0,1.0
1024,0.0126984128728508,4.857142448425293,True,1,1.0,38.0,1.0
1024,0.0126984128728508,5.0,False,1,1.0,39.0,1.0
1024,0.0126984128728508,5.0,False,4,1.0,39.0,1.0
1024,0.0126984128728508,5.0,False,64,1.0,39.0,1.0
1024,0.0126984128728508,5.0,True,1,1.0,39.0,1.0
1024,0.0126984128728508,5.142857074737549,False,1,1.0,40.0,1.0
1024,0.0126984128728508,5.142857074737549,False,4,1.0,40.0,1.0
1024,0.0126984128728508,5.142857074737549,False,64,1.0,40.0,1.0
1024,0.0126984128728508,5.142857074737549,True,1,1.0,40.0,1.0
1024,0.0126984128728508,5.285714149475098,False,1,1.0,41.0,1.0
1024,0.0126984128728508,5.285714149475098,False,4,1.0,41.0,1.0
1024,0.0126984128728508,5.285714149475098,False,64,1.0,41.0,1.0
1024,0.0126984128728508,5.285714149475098,True,1,1.0,41.0,1.0
1024,0.0126984128728508,5.4285712242126465,False,1,1.0,43.0,1.0
1024,0.0126984128728508,5.4285712242126465,False,4,1.0,43.0,1.0
1024,0.0126984128728508,5.4285712242126465,False,64,1.0,43.0,1.0
1024,0.0126984128728508,5.4285712242126465,True,1,1.0,43.0,1.0
1024,0.0126984128728508,5.571428298950195,False,1,1.0,44.0,1.0
1024,0.0126984128728508,5.571428298950195,False,4,1.0,44.0,1.0
1024,0.0126984128728508,5.571428298950195,False,64,1.0,44.0,1.0
1024,0.0126984128728508,5.571428298950195,True,1,1.0,44.0,1.0
1024,0.0126984128728508,5.714285373687744,False,1,1.0,45.0,1.0
1024,0.0126984128728508,5.714285373687744,False,4,1.0,45.0,1.0
1024,0.0126984128728508,5.714285373687744,False,64,1.0,45.0,1.0
1024,0.0126984128728508,5.714285373687744,True,1,1.0,45.0,1.0
1024,0.0126984128728508,5.857142925262451,False,1,1.0,46.0,1.0
1024,0.0126984128728508,5.857142925262451,False,4,1.0,46.0,1.0
1024,0.0126984128728508,5.857142925262451,False,64,1.0,46.0,1.0
1024,0.0126984128728508,5.857142925262451,True,1,1.0,46.0,1.0
1024,0.0126984128728508,6.0,False,1,1.0,47.0,1.0
1024,0.0126984128728508,6.0,False,4,1.0,47.0,1.0
1024,0.0126984128728508,6.0,False,64,1.0,47.0,1.0
1024,0.0126984128728508,6.0,True,1,1.0,47.0,1.0
1024,0.0126984128728508,6.142857074737549,False,1,1.0,48.0,1.0
1024,0.0126984128728508,6.142857074737549,False,4,1.0,48.0,1.0
1024,0.0126984128728508,6.142857074737549,False,64,1.0,48.0,1.0
1024,0.0126984128728508,6.142857074737549,True,1,1.0,48.0,1.0
1024,0.0126984128728508,6.285714149475098,False,1,1.0,49.0,1.0
1024,0.0126984128728508,6.285714149475098,False,4,1.0,49.0,1.0
1024,0.0126984128728508,6.285714149475098,False,64,1.0,49.0,1.0
1024,0.0126984128728508,6.285714149475098,True,1,1.0,49.0,1.0
1024,0.0126984128728508,6.4285712242126465,False,1,1.0,50.0,1.0
1024,0.0126984128728508,6.4285712242126465,False,4,1.0,50.0,1.0
1024,0.0126984128728508,6.4285712242126465,False,64,1.0,50.0,1.0
1024,0.0126984128728508,6.4285712242126465,True,1,1.0,50.0,1.0
1024,0.0126984128728508,6.571428298950195,False,1,1.0,52.0,1.0
1024,0.0126984128728508,6.571428298950195,False,4,1.0,52.0,1.0
1024,0.0126984128728508,6.571428298950195,False,64,1.0,52.0,1.0
1024,0.0126984128728508,6.571428298950195,True,1,1.0,52.0,1.0
1024,0.0126984128728508,6.714285850524902,False,1,1.0,53.0,1.0
1024,0.0126984128728508,6.714285850524902,False,4,1.0,53.0,1.0
1024,0.0126984128728508,6.714285850524902,False,64,1.0,53.0,1.0
1024,0.0126984128728508,6.714285850524902,True,1,1.0,53.0,1.0
1024,0.0126984128728508,6.857142925262451,False,1,1.0,54.0,1.0
1024,0.0126984128728508,6.857142925262451,False,4,1.0,54.0,1.0
1024,0.0126984128728508,6.857142925262451,False,64,1.0,54.0,1.0
1024,0.0126984128728508,6.857142925262451,True,1,1.0,54.0,1.0
1024,0.0126984128728508,7.0,False,1,1.0,55.0,1.0
1024,0.0126984128728508,7.0,False,4,1.0,55.0,1.0
1024,0.0126984128728508,7.0,False,64,1.0,55.0,1.0
1024,0.0126984128728508,7.0,True,1,1.0,55.0,1.0
1024,0.0126984128728508,7.142857074737549,False,1,1.0,56.0,1.0
1024,0.0126984128728508,7.142857074737549,False,4,1.0,56.0,1.0
1024,0.0126984128728508,7.142857074737549,False,64,1.0,56.0,1.0
1024,0.0126984128728508,7.142857074737549,True,1,1.0,56.0,1.0
1024,0.0126984128728508,7.285714149475098,False,1,1.0,57.0,1.0
1024,0.0126984128728508,7.285714149475098,False,4,1.0,57.0,1.0
1024,0.0126984128728508,7.285714149475098,False,64,1.0,57.0,1.0
1024,0.0126984128728508,7.285714149475098,True,1,1.0,57.0,1.0
1024,0.0126984128728508,7.4285712242126465,False,1,1.0,58.0,1.0
1024,0.0126984128728508,7.4285712242126465,False,4,1.0,58.0,1.0
1024,0.0126984128728508,7.4285712242126465,False,64,1.0,58.0,1.0
1024,0.0126984128728508,7.4285712242126465,True,1,1.0,58.0,1.0
1024,0.0126984128728508,7.571428298950195,False,1,1.0,60.0,1.0
1024,0.0126984128728508,7.571428298950195,False,4,1.0,60.0,1.0
1024,0.0126984128728508,7.571428298950195,False,64,1.0,60.0,1.0
1024,0.0126984128728508,7.571428298950195,True,1,1.0,60.0,1.0
1024,0.0126984128728508,7.714285850524902,False,1,1.0,61.0,1.0
1024,0.0126984128728508,7.714285850524902,False,4,1.0,61.0,1.0
1024,0.0126984128728508,7.714285850524902,False,64,1.0,61.0,1.0
1024,0.0126984128728508,7.714285850524902,True,1,1.0,61.0,1.0
1024,0.0126984128728508,7.857142925262451,False,1,1.0,62.0,1.0
1024,0.0126984128728508,7.857142925262451,False,4,1.0,62.0,1.0
1024,0.0126984128728508,7.857142925262451,False,64,1.0,62.0,1.0
1024,0.0126984128728508,7.857142925262451,True,1,1.0,62.0,1.0
1024,0.0126984128728508,8.0,False,1,1.0,63.0,1.0
1024,0.0126984128728508,8.0,False,4,1.0,63.0,1.0
1024,0.0126984128728508,8.0,False,64,1.0,63.0,1.0
1024,0.0126984128728508,8.0,True,1,1.0,63.0,1.0
1024,0.0126984128728508,8.142857551574707,False,1,1.0,64.0,1.0
1024,0.0126984128728508,8.142857551574707,False,4,1.0,64.0,1.0
1024,0.0126984128728508,8.142857551574707,False,64,1.0,64.0,1.0
